,Name,Region,Country,GlobalScore,GlobalRank,Total students,PG students total,UG students total,International students,PG students intl,UG students intl,Total faculty staff,International staff,Domestic staff,Citations_per_Faculty,International_Students,International_Faculty,Faculty_Student,Employer_Reputation,Academic_Reputation
0,Universidad de Buenos Aires (UBA),Latin America,Argentina,66,74,122293,7%,93%,27121,8%,92%,16419,3167,13252,2.4,64.7,50.7,77.4,91.3,87.2
1,Universidad Nacional Autónoma de México  (UNAM),Latin America,Mexico,58.8,103,143279,21%,79%,5057,57%,43%,16006,1178,14828,3.8,4.3,13.8,57.6,91,90.9
2,Universidade de São Paulo,Latin America,Brazil,55.5,116,66214,45%,55%,1992,85%,15%,5116,261,4855,35.2,3.7,8.9,25.2,73.3,88.3
3,Pontificia Universidad Católica de Chile (UC),Latin America,Chile,53.4,127,28313,14%,86%,971,67%,33%,2306,221,2085,13.6,4.2,19.4,28.6,95.5,85.2
4,Tecnológico de Monterrey,Latin America,Mexico,48.5,158,14549,12%,88%,1498,36%,64%,2245,925,1320,4.6,18.4,98.2,89.5,88.9,36.9
5,Universidad de Chile,Latin America,Chile,45,189,35447,16%,84%,2177,57%,43%,2356,134,2222,14.5,8.4,10.1,16.3,90.8,71.6
6,Universidade Estadual de Campinas (Unicamp),Latin America,Brazil,42.1,214,27814,44%,56%,972,88%,12%,2000,113,1887,32.7,4.3,9.9,21.1,34.5,67.5
7,Universidad de los Andes,Latin America,Colombia,39.6,234,12964,7%,93%,320,18%,82%,1180,163,1017,8.1,3.1,32.1,27.6,87.9,54.4
8,Universidad Nacional de Colombia,Latin America,Colombia,37.5,253,54027,18%,82%,308,45%,55%,2991,143,2848,5.3,1.3,8.3,11.1,89.7,61.5
9,Pontificia Universidad Católica Argentina,Latin America,Argentina,31.7,344,17182,12%,88%,1440,40%,60%,3616,56,3560,1.1,13.2,2.9,95.3,44.3,17.7
10,Universidade Federal do Rio de Janeiro,Latin America,Brazil,30.6,358,60655,23%,77%,864,65%,35%,4377,179,4198,11.5,2,7,21.3,19.6,53.8
11,Universidad de Palermo (UP),Latin America,Argentina,28.8,383,6570,9%,91%,2466,15%,85%,971,143,828,1.2,97.5,35.1,84.6,9.6,9.8
12,Universidad Austral,Latin America,Argentina,28.2,400,4251,22%,78%,338,46%,54%,615,22,593,1.9,12.2,6.1,84.4,36.9,15.6
13,Universidad de Belgrano,Latin America,Argentina,26.3,438,5300,4%,96%,1060,2%,98%,815,33,782,1.1,55.8,6.9,89.2,19,7.7
14,Universidade Federal de São Paulo,Latin America,Brazil,26.2,439,13091,41%,59%,147,71%,29%,2462,79,2383,10,1.8,5.5,93,5.1,11.7
15,Pontificia Universidad Javeriana,Latin America,Colombia,25.1,468,28422,16%,84%,405,38%,62%,2135,82,2053,2.5,2,6.5,17,70.6,34
16,Pontificia Universidad Católica del Perú,Latin America,Peru,25,474,27035,21%,79%,460,63%,37%,2367,71,2296,1.7,2.3,7,19.2,56.3,36.5
17,Universidad Externado de Colombia,Latin America,Colombia,24.7,480,13522,58%,42%,209,51%,49%,994,86,908,1,2.2,16.9,79.8,39,8.9
18,UNESP,Latin America,Brazil,24.6,482,34132,22%,78%,563,56%,44%,3043,106,2937,14.7,2.2,5.9,35.5,15.5,31.2
19,Universidad de Santiago de Chile (USACH),Latin America,Chile,24.4,489,23066,7%,93%,376,27%,73%,1367,65,1302,4.7,2.2,8.2,13.1,60.2,35.6
20,Universidad de Montevideo (UM),Latin America,Uruguay,24.3,491,2169,17%,83%,66,17%,83%,296,27,269,1.3,3.7,18.1,79.1,17.3,13.4
21,Universidad de La Habana,Latin America,Cuba,,501,11411,12%,88%,344,51%,49%,1413,24,1389,,,,68.9,26.8,16.5
22,Universidad de Costa Rica,Latin America,Costa Rica,,511,33796,7%,93%,279,%,%,3006,0,3006,,,,35.3,45.2,27.5
