,Name,Country,GlobalScore,GlobalRank,Teaching_score,Research_score,Citations_score,Indust_income_score,Intl_outlook_score,Students,Students_per_staff,%_intl_students,Females:males,Address,RelativeURL
0,University of Desarrollo,Chile,38.8–42.3,401,13.5,8.8,99.1,36.8,48.1,"15,384",19.0,4%,56 : 44,"Av. Plaza 680 San Carlos de Apoquindo, Las Condes, Santiago, 7610658, Chile",/world-university-rankings/university-desarrollo
1,Diego Portales University,Chile,38.8–42.3,401,14.7,10.5,95.3,34.4,50.4,"17,287",14.9,2%,49 : 51,"Manuel Rodríguez Sur 415, Santiago, Región Metropolitana, Chile",/world-university-rankings/diego-portales-university
2,Pontifical Javeriana University,Colombia,38.8–42.3,401,15.3,8.9,98.6,34.8,44.6,"30,048",15.4,1%,55 : 45,"Carrera 7 No. 40 - 62, Bogota, Distrito Capital, Colombia",/world-university-rankings/pontifical-javeriana-university
3,Universidad Autónoma de Chile,Chile,35.3–38.7,501,12.3,8.9,81.6,34.4,50.7,"23,312",26.2,1%,65 : 35,"Av. Pedro de Valdivia 425, Providencia, Región Metropolitana, Chile",/world-university-rankings/universidad-autonoma-de-chile
4,Universidad Peruana Cayetano Heredia,Peru,35.3–38.7,501,17.0,11.3,83.1,34.7,46.4,"6,236",10.6,0%,66 : 34,"Av. Honorio Delgado 430, Urb. Ingeniería, San Martín de Porres- Lima, Peru",/world-university-rankings/universidad-peruana-cayetano-heredia
5,Pontifical Catholic University of Chile,Chile,35.3–38.7,501,24.2,28.3,48.6,64.5,57.1,"28,541",15.0,7%,,"Avda. Libertador Bernardo, O'Higgins 340, Santiago, Chile",/world-university-rankings/pontifical-catholic-university-chile
6,The University of the West Indies,Jamaica,35.3–38.7,501,17.8,11.1,73.4,38.9,57.2,"23,305",22.2,1%,71 : 29,"Mona, Kingston 7, Jamaica",/world-university-rankings/university-west-indies
7,"University of the Andes, Colombia",Colombia,28.3–35.2,601,21.1,15.9,45.0,37.4,55.7,"15,521",13.2,2%,44 : 56,"Carrera 1 N° 18A 12 Bogotá, Bogata, Distrito Capital, Colombia",/world-university-rankings/university-andes-colombia
8,University of Costa Rica,Costa Rica,28.3–35.2,601,16.2,7.9,77.1,34.4,48.2,"33,900",15.1,2%,53 : 47,"Rodrigo Facio Brenes, Montes de Oca, 2060 San José, Costa Rica",/world-university-rankings/university-costa-rica
9,Metropolitan Autonomous University,Mexico,28.3–35.2,601,16.6,16.3,68.6,36.4,25.1,"57,827",20.0,0%,48 : 52,"Prol. Canal de Miramontes 3855, Ex Hacienda San Juan de Dios, Ciudad de México, Distrito Federal, 14387, Mexico",/world-university-rankings/metropolitan-autonomous-university
10,Monterrey Institute of Technology,Mexico,28.3–35.2,601,20.5,18.2,41.8,74.7,57.3,"14,343",16.2,11%,41 : 59,"Av. Eugenio Garza Sada 2501, Sur Col. Tecnológico, Monterrey, Nuevo León, 64849, Mexico",/world-university-rankings/monterrey-institute-technology
11,National Autonomous University of Mexico,Mexico,28.3–35.2,601,31.9,30.4,18.9,61.7,44.2,"161,718",17.1,8%,51 : 49,"Ciudad Universitaria, Mexico City, 04510, Mexico",/world-university-rankings/national-autonomous-university-mexico
12,University of Chile,Chile,22.2–28.2,801,23.2,17.1,33.9,34.5,51.2,"35,447",15.0,6%,47 : 53,"Av Libertador, Bernardo OHiggins 1058, Santiago, Chile",/world-university-rankings/university-chile
13,Federico Santa María Technical University,Chile,22.2–28.2,801,13.6,9.8,40.2,44.9,54.5,"19,067",27.3,3%,24 : 76,"Avenida España 1680, Casilla 110-V, Valparaíso, Chile",/world-university-rankings/federico-santa-maria-technical-university
14,University of La Frontera,Chile,22.2–28.2,801,15.1,16.0,34.0,34.5,47.9,"10,437",24.6,1%,49 : 51,"Av. Francisco Salazar 01145, Temuco, Chile",/world-university-rankings/university-la-frontera
15,Pontifical Catholic University of Peru,Peru,22.2–28.2,801,19.9,8.6,33.8,35.9,47.4,"24,984",7.5,3%,47 : 53,"Av. Universitaria 1801, San Miguel, Lima, 15088, Peru",/world-university-rankings/pontifical-catholic-university-peru
16,University of Puerto Rico,Puerto Rico,22.2–28.2,801,18.1,8.5,43.7,34.9,43.7,"49,713",13.9,1%,58 : 42,"1187 Flamboyán Street, San Juan, 00926-1117, Puerto Rico",/world-university-rankings/university-puerto-rico
17,"University of the Andes, Chile",Chile,10.7–22.1,1001,16.1,10.5,15.6,34.6,47.8,"8,402",14.4,2%,59 : 41,"Mons. Álvaro del Portillo, 12.455, Las Condes, Santiago, Chile",/world-university-rankings/university-andes-chile
18,"University of the Andes, Venezuela",Venezuela,10.7–22.1,1001,15.0,7.9,9.1,34.4,45.6,"42,198",16.8,0%,58 : 42,"Avenida 3, Independencia, Mérida. Edo. Mérida, Venezuela",/world-university-rankings/university-andes-venezuela
19,Andrés Bello University (UNAB),Chile,10.7–22.1,1001,13.3,8.0,29.8,34.6,47.3,"44,327",21.8,1%,53 : 47,"Dice Sazie 2320, Santiago, Debe decir República 252, Chile",/world-university-rankings/andres-bello-university-unab
20,University of Antioquia,Colombia,10.7–22.1,1001,16.7,17.0,17.2,40.6,37.7,"41,389",24.0,0%,51 : 49,"Calle 67 Número 53 - 108 P.O BOX 1226, Medellin, Colombia",/world-university-rankings/university-antioquia
21,Austral University of Chile,Chile,10.7–22.1,1001,15.0,12.2,22.7,46.9,50.2,"15,575",17.7,2%,50 : 50,"Independencia 641, Valdivia, Chile",/world-university-rankings/austral-university-chile
22,Autonomous University of Baja California,Mexico,10.7–22.1,1001,13.7,8.8,7.7,35.2,30.0,"59,507",17.7,2%,53 : 47,"Av Alvaro Obregon y Julian Carrillo s/n, Colonia Nueva, Mexicali, Baja California, 21100, Mexico",/world-university-rankings/autonomous-university-baja-california
23,Autonomous University of Hidalgo State (UAEH),Mexico,10.7–22.1,1001,15.0,8.2,8.4,36.2,22.1,"34,995",18.2,1%,57 : 43,"Carr Pachuca-Actopan km. 4.5 Edificio B, 4to.Piso, Pachuca, Hidalgo, 48900, Mexico",/world-university-rankings/autonomous-university-hidalgo-state-uaeh
24,Autonomous University of Nuevo León,Mexico,10.7–22.1,1001,12.5,7.7,12.1,35.4,29.2,"207,520",54.1,0%,,"Pedro de Alba s/n, San Nicolás de Los Garza, Nuevo León, Mexico",/world-university-rankings/autonomous-university-nuevo-leon
25,Autonomous University of Puebla,Mexico,10.7–22.1,1001,16.0,7.9,12.2,34.7,25.7,"69,982",33.2,1%,53 : 47,"4 sur 104, Centro Histórico, Puebla, 72000, Mexico",/world-university-rankings/autonomous-university-puebla
26,Autonomous University of Querétaro,Mexico,10.7–22.1,1001,15.4,9.2,17.3,38.7,25.9,"22,058",39.9,1%,56 : 44,"Cerro de Las Campanas, Querétaro, 76017, Mexico",/world-university-rankings/autonomous-university-queretaro
