,University,LatinAmericaRank,GlobalRank,GlobalScore,Country,City,PageNumber,USN_URL,Address,Webpage,Total number of students,Number of international students,Total number of academic staff,Number of international staff,Number of undergraduate degrees awarded,Number of master's degrees awarded,Number of doctoral degrees awarded,Number of research only staff,Number of new undergraduate students,Number of new master's students,Number of new doctoral students
0,Universidade de São Paulo,1,128,66.4,Brazil,São Paulo,1,https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437,"Av. Prof. Almeida Prado, nº1280 - Butantã São Paulo, 05508-070 Brazil",http://www5.usp.br/en/ ,"83,214","3,161","5,230",258,"8,207","3,742","3,078",0,"10,978","4,697","3,308"
1,Pontificia University Católica de Chile,2,290,57.2,Chile,Santiago,1,https://www.usnews.com/education/best-global-universities/pontificia-university-catolica-de-chile--506168,Avda.  Libertador Bernardo O'Higgins 340 Santiago Chile,http://www.uc.cl/ ,"28,541","2,007","1,900",207,"2,981",,121,270,"5,190",,268
2,State University of Campinas,3,305,56.7,Brazil,"Campinas, São Paulo",1,https://www.usnews.com/education/best-global-universities/state-university-of-campinas-504975,"Campus Universitário Zeferino Vaz Campinas, São Paulo 13083-970 Brazil",http://www.unicamp.br/unicamp/?language=en ,"28,795",974,"1,906",106,"2,500","1,342",997,94,"3,353","2,110","1,511"
3,Federal University of Rio de Janeiro,4,346,54.9,Brazil,Rio de Janeiro,1,https://www.usnews.com/education/best-global-universities/federal-university-of-rio-de-janeiro-504608,"Av. Pedro Calmon, 550 Rio de Janeiro, 21941-901 Brazil",http://www.ufrj.br/ ,,,,,,,,,,,
4,University of Buenos Aires,5,374,53.7,Argentina,"Buenos Aires City, Buenos Aires",1,https://www.usnews.com/education/best-global-universities/university-of-buenos-aires-504821,"Viamonte 430 st. Buenos Aires City, Buenos Aires Argentina",http://www.uba.ar/ingles/index03.php,,,,,,,,,,,
5,National Autonomous University of Mexico,6,382,53.4,Mexico,"Ciudad de México, Distrito Federal",1,https://www.usnews.com/education/best-global-universities/national-autonomous-university-of-mexico-502101,"Av. Universidad 3000, Copilco Universidad, Coyoacán Ciudad de México, Distrito Federal 04510 Mexico",http://www.unam.mx/index/en,,,,,,,,,,,
6,University of Chile,7,385,53.1,Chile,Santiago,1,https://www.usnews.com/education/best-global-universities/university-of-chile-502207,Av. Libertador Bernardo O'Higgins 1058 Santiago Chile,http://www.uchile.cl/english ,,,,,,,,,,,
7,University of the Andes Colombia,8,431,51.4,Colombia,"Bogotá, DC",1,https://www.usnews.com/education/best-global-universities/university-of-the-andes-colombia-528846,"Carrera Primera #18A-12 Bogotá, DC Colombia",http://www.uniandes.edu.co/,,,,,,,,,,,
8,Universidad Tecnica Federico Santa Maria,9,434,51.1,Chile,"Valparaiso, Valparaiso",1,https://www.usnews.com/education/best-global-universities/universidad-tecnica-federico-santa-maria-528919,"Av. Espana 1680 Valparaiso, Valparaiso Chile",http://www.usm.cl/,,,,,,,,,,,
9,Federal University of Rio Grande do Sul,10,459,50.4,Brazil,"Porto Alegre, Rio Grande do Sul",1,https://www.usnews.com/education/best-global-universities/federal-university-of-rio-grande-do-sul-500468,"Av. Paulo Gama, 110 Porto Alegre, Rio Grande do Sul 90040-060 Brazil",http://www.ufrgs.br/english/home,,,,,,,,,,,
10,UNESP - Universidade Estadual Paulista,10,459,50.4,Brazil,São Paulo,2,https://www.usnews.com/education/best-global-universities/unesp-universidade-estadual-paulista-503331,"Quirino Street Andrade, 215  São Paulo, 01049-010 Brazil",http://www.unesp.br/ ,,,,,,,,,,,
11,Federal University of Minas Gerais,12,465,50.3,Brazil,"Belo Horizonte, Minas Gerais",2,https://www.usnews.com/education/best-global-universities/federal-university-of-minas-gerais-506043,"Avenida Presidente Antônio Carlos, 6627 Belo Horizonte, Minas Gerais 31270-901 Brazil",https://www.ufmg.br/ ,,,,,,,,,,,
